Queue Group/Line of Business,Month,Year,Calls Handled,Average Wait Time (minutes),,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jun,2018,"2,330",0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jul,2018,"2,286",0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Aug,2018,"2,138",0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Sep,2018,"1,847",0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Oct,2018,"2,104",0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Nov,2018,"1,700",0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Dec,2018,"1,239",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jan,2019,"2,139",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Feb,2019,"1,599",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Mar,2019,"1,844",0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Apr,2019,"1,988",1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),May,2019,"1,586",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jun,2019,"1,349",2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jul,2019,"1,190",7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Aug,2019,"1,794",2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Sep,2019,"1,904",2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Oct,2019,"1,794",1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Nov,2019,"1,498",1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Dec,2019,"1,419",1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jan,2020,"1,529",4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Feb,2020,"1,168",4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Mar,2020,"1,070",5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Apr,2020,"1,108",0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),May,2020,"1,476",0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jun,2020,"1,661",1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jul,2020,"1,136",7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Aug,2020,846,9.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Sep,2020,"1,169",2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Oct,2020,"1,053",5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Nov,2020,784,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Dec,2020,962,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jan,2021,"1,201",2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Feb,2021,"1,034",2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Mar,2021,"1,330",1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Apr,2021,"1,153",1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),May,2021,"1,202",1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jun,2021,"1,221",0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jul,2021,"1,074",1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Aug,2021,993,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Sep,2021,"1,155",0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Oct,2021,"1,094",1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Nov,2021,"1,119",1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Dec,2021,988,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jan,2022,"1,369",1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Feb,2022,"1,241",1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Mar,2022,"1,404",1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Apr,2022,"1,042",3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),May,2022,"1,049",5.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jun,2022,"1,104",1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jul,2022,847,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Aug,2022,861,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Sep,2022,799,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jan,2016,"33,164",0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Feb,2016,"31,922",1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Mar,2016,"32,695",0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Apr,2016,"33,579",1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),May,2016,"30,691",1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jun,2016,"30,951",0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jul,2016,"30,582",0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Aug,2016,"32,514",1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Sep,2016,"29,438",0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Oct,2016,"28,797",0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Nov,2016,"31,185",0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Dec,2016,"25,231",0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jan,2017,"33,425",0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Feb,2017,"29,557",0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Mar,2017,"33,985",0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Apr,2017,"27,222",1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),May,2017,"32,715",1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jun,2017,"31,230",1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jul,2017,"32,281",1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Aug,2017,"35,699",0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Sep,2017,"31,620",0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Oct,2017,"33,560",0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Nov,2017,"33,651",1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Dec,2017,"26,811",0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jan,2018,"36,661",0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Feb,2018,"30,147",0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Mar,2018,"31,928",0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Apr,2018,"27,910",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),May,2018,"32,421",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jun,2018,"31,485",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jul,2018,"33,692",1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Aug,2018,"36,699",3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Sep,2018,"31,650",4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Oct,2018,"35,293",6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Nov,2018,"34,196",7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Dec,2018,"28,906",6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jan,2019,"38,037",8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Feb,2019,"34,155",6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Mar,2019,"36,408",3.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Apr,2019,"32,314",1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),May,2019,"32,028",1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jun,2019,"28,046",0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jul,2019,"32,490",0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Aug,2019,"30,908",0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Sep,2019,"30,356",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Oct,2019,"33,279",0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Nov,2019,"29,892",1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Dec,2019,"25,088",1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jan,2020,"35,111",0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Feb,2020,"29,060",0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Mar,2020,"21,230",0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Apr,2020,"12,704",0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),May,2020,"13,440",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jun,2020,"16,724",0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jul,2020,"16,975",0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Aug,2020,"17,094",0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Sep,2020,"17,967",0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Oct,2020,"17,042",0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Nov,2020,"16,835",0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Dec,2020,"14,949",0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jan,2021,"16,207",2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Feb,2021,"14,954",3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Mar,2021,"19,411",1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Apr,2021,"17,004",1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),May,2021,"18,600",0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jun,2021,"20,569",1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jul,2021,"18,913",4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Aug,2021,"17,651",6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Sep,2021,"17,822",7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Oct,2021,"18,509",7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Nov,2021,"20,000",5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Dec,2021,"18,152",1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jan,2022,"21,158",1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Feb,2022,"20,480",1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Mar,2022,"25,579",2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Apr,2022,"21,261",3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),May,2022,"23,237",3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jun,2022,"21,712",6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jul,2022,"18,879",8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Aug,2022,"24,362",4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Sep,2022,"22,689",4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jan,2016,"12,172",0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Feb,2016,"10,748",1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Mar,2016,"10,519",2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Apr,2016,"11,730",1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),May,2016,"12,145",0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jun,2016,"12,251",0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jul,2016,"11,284",0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Aug,2016,"12,858",0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Sep,2016,"12,999",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Oct,2016,"12,421",0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Nov,2016,"12,008",0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Dec,2016,"10,359",0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jan,2017,"12,230",0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Feb,2017,"11,075",0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Mar,2017,"13,331",0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Apr,2017,"10,614",0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),May,2017,"12,744",1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jun,2017,"11,819",1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jul,2017,"11,574",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Aug,2017,"14,891",0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Sep,2017,"14,595",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Oct,2017,"12,542",1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Nov,2017,"11,189",0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Dec,2017,"8,878",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jan,2018,"11,380",0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Feb,2018,"9,777",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Mar,2018,"11,925",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Apr,2018,"9,571",0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
